movie_name,player_name,player_time,review_title,review_content,review_endorsed,review_negative,review_reply
初恋这件小事,男神的炎迪迪,2018-08-15 10:30:04,深藏于心的那份青涩,maple,103有用,22无用,20回应
一出好戏,夜第七章,2018-08-14 19:59:16,从《一出好戏》谈反乌托邦：世界尽头与冷酷仙境,maple,539有用,35无用,63回应
小森林 夏秋篇,你谁呀,2018-08-14 11:26:08,此味只有天上有,maple,99有用,11无用,29回应
秒速5厘米,男神的炎迪迪,2018-08-14 10:42:07,秒速五厘米，灵魂飘落的速度,maple,105有用,12无用,23回应
祈祷落幕时,电影解毒,2018-08-14 16:39:50,不是我剧透，是墙先开的口,maple,188有用,14无用,23回应
情书,打死不吃西红柿,2018-08-14 11:09:21,情书——追忆那逝水年华，一念成殇,maple,91有用,12无用,23回应
方向,破词儿,2018-08-14 17:56:18,天这么热，打个的吧,maple,45有用,5无用,2回应
巨齿鲨,风息神泪,2018-08-14 18:28:01,打个商量，放过它，不要折腾，算了吧,maple,116有用,8无用,38回应
一出好戏,罗罔极,2018-08-13 23:02:38,黄渤暗藏的哲思，这篇看得最透——《一出好戏》终极解读,maple,247有用,37无用,37回应
巨齿鲨,电影解毒,2018-08-13 18:32:20,鲨鲨这么猛，怎么能拿来做腌鱼干！,maple,122有用,32无用,26回应
巨齿鲨,黑色星期五,2018-08-11 16:54:06,史前巨兽变成了海中大鱼,maple,34有用,8无用,6回应
纵横四海,逆袭的泥巴,2018-08-11 13:33:57,这是最好的结局,maple,30有用,1无用,6回应
釜山行,泡椒凤爪,2018-08-11 20:04:29,人性的放大镜,maple,23有用,4无用,3回应
爱情公寓,Veto,2018-08-10 12:05:51,【转图】爱情公寓全剧透！就是盗墓笔记外传！水军片方洗地粉无脑行为真是一出好戏！,maple,3681有用,304无用,470回应
一出好戏,江户川的哀,2018-08-10 23:35:56,就没人说不好了吗？翻了好久全说好的,maple,4503有用,2124无用,1707回应
巨齿鲨,有趣,2018-08-10 09:57:19,关于中国元素，我想说几句。,maple,1263有用,224无用,545回应
爱情公寓,无忌,2018-08-09 15:33:26,揭秘二十一世纪电影票房预售一亿骗局，一个蹭ip的电影因为ip过期强行卖情怀，上映前的断言不仅仅是臆测，理性分析爱情公寓到底为什么注定是部烂片。,maple,568有用,46无用,83回应
一出好戏,猴头虫,2018-08-09 22:49:24,《一出好戏》戏里戏外，带着黄渤式的幽默，探讨着黄渤的世界观。,maple,150有用,17无用,12回应
小偷家族,少一个,2018-08-09 22:40:23,《小偷家族》哪个地方让你动情了？,maple,76有用,2无用,11回应
巨齿鲨,大海里的针,2018-08-09 16:28:22,郭达硬刚巨齿鲨，三亚游客全吓傻,maple,32有用,8无用,8回应
巨齿鲨,美好电影公社,2018-08-07 16:33:17,打遍全世界的杰森·斯坦森，这次挑战的是史前巨鲨,maple,26有用,9无用,5回应
日本之耻,喜喜喜喜喜喜饼,2018-08-07 20:35:10,可怕的不是男权，而是支持男权的女人,maple,155有用,15无用,71回应
爱情公寓,天师章,2018-08-06 18:15:25,我们骂爱抄公寓时我们在骂些什么（附强势反抄表情包）,maple,737有用,106无用,631回应
小偷家族,彩骚戏话,2018-08-06 14:02:23,《小偷家族》各成员过往经历&行为动机分析,maple,815有用,28无用,34回应
纯洁心灵·逐梦演艺圈,张科科,2018-08-06 23:16:27,《纯洁心灵·逐梦演艺圈》，中国电影的最高峰,maple,70有用,11无用,20回应
妈妈咪呀2,猫司令,2018-08-06 12:44:47,她们的人生是一首永不结束的歌,maple,32有用,2无用,0回应
一出好戏,叶子,2018-08-06 17:59:39,试从美术角度浅谈“一出好戏”观赏性,maple,38有用,7无用,13回应
美食大冒险之英雄烩,kiki拉雅,2018-08-06 16:38:12,纵然世界如何，愿你依然活得像孩子,maple,29有用,4无用,1回应
楚门的世界,世界尽头,2018-08-06 13:01:29,谎言终究是谎言,maple,31有用,4无用,6回应
盛夏,平成御宅,2018-08-06 17:02:15,性爱手枪,maple,45有用,1无用,8回应
